user_id,exercise,muscle_group,difficulty,duration_min,rating,fitness_level
1,Bench Press,chest,3,27,4,2
1,Push-ups,chest,1,27,5,2
1,Row,back,2,73,4,2
1,Row,back,2,33,5,2
1,Push-ups,chest,1,80,5,2
1,Bench Press,chest,3,67,5,2
1,Plank,core,1,75,3,2
1,Pull-ups,back,2,31,5,2
1,Push-ups,chest,1,45,5,2
1,Pull-ups,back,2,89,4,2
1,Row,back,2,60,5,2
1,Bench Press,chest,3,36,3,2
2,Pull-ups,back,2,50,3,0
2,Plank,core,1,49,3,0
2,Push-ups,chest,1,64,4,0
2,Squats,legs,2,64,4,0
2,Squats,legs,2,87,4,0
2,Push-ups,chest,1,44,4,0
2,Squats,legs,2,55,4,0
2,OHP,shoulders,3,77,3,0
2,Pull-ups,back,2,55,2,0
2,Squats,legs,2,26,3,0
2,Burpees,full,2,85,4,0
2,Push-ups,chest,1,20,5,0
2,Squats,legs,2,40,3,0
2,Lunges,legs,1,76,3,0
2,Squats,legs,2,49,2,0
2,Deadlifts,back,3,83,2,0
2,Deadlifts,back,3,69,3,0
2,Deadlifts,back,3,86,1,0
2,Burpees,full,2,30,4,0
2,Bench Press,chest,3,45,1,0
2,Plank,core,1,29,5,0
2,Deadlifts,back,3,29,2,0
2,Deadlifts,back,3,63,2,0
2,Burpees,full,2,28,4,0
2,Row,back,2,43,3,0
2,Lunges,legs,1,35,3,0
2,Squats,legs,2,54,4,0
3,Deadlifts,back,3,27,2,0
3,Squats,legs,2,61,2,0
3,Burpees,full,2,89,4,0
3,Pull-ups,back,2,72,2,0
3,Squats,legs,2,25,4,0
3,Bench Press,chest,3,34,2,0
3,OHP,shoulders,3,82,1,0
3,Deadlifts,back,3,71,3,0
3,Lunges,legs,1,72,5,0
3,Bench Press,chest,3,72,2,0
3,Push-ups,chest,1,34,5,0
3,Push-ups,chest,1,28,4,0
3,Squats,legs,2,66,2,0
3,Deadlifts,back,3,24,2,0
3,Burpees,full,2,63,2,0
3,Lunges,legs,1,62,4,0
3,Squats,legs,2,61,4,0
3,Lunges,legs,1,30,4,0
3,Push-ups,chest,1,43,4,0
3,Bench Press,chest,3,47,2,0
3,Deadlifts,back,3,74,1,0
3,Row,back,2,40,3,0
3,Push-ups,chest,1,62,5,0
3,Bench Press,chest,3,77,2,0
3,Bench Press,chest,3,40,2,0
3,OHP,shoulders,3,75,1,0
3,Pull-ups,back,2,41,3,0
4,Squats,legs,2,82,4,0
4,Deadlifts,back,3,55,1,0
4,Deadlifts,back,3,65,1,0
4,Burpees,full,2,35,2,0
4,Burpees,full,2,84,2,0
4,Burpees,full,2,39,2,0
4,Deadlifts,back,3,77,2,0
4,Push-ups,chest,1,48,3,0
5,Row,back,2,23,4,2
5,Deadlifts,back,3,70,3,2
5,Bench Press,chest,3,43,5,2
5,Burpees,full,2,47,5,2
5,Bench Press,chest,3,55,4,2
5,Bench Press,chest,3,55,5,2
5,Squats,legs,2,37,4,2
5,Lunges,legs,1,26,4,2
5,Burpees,full,2,31,4,2
5,Push-ups,chest,1,82,4,2
5,Burpees,full,2,72,4,2
5,OHP,shoulders,3,25,4,2
5,Push-ups,chest,1,28,5,2
5,Burpees,full,2,74,5,2
5,Lunges,legs,1,54,5,2
5,Deadlifts,back,3,78,4,2
5,Pull-ups,back,2,66,5,2
5,OHP,shoulders,3,61,5,2
5,Squats,legs,2,85,5,2
5,Bench Press,chest,3,61,4,2
6,Row,back,2,63,3,0
6,Lunges,legs,1,57,3,0
6,OHP,shoulders,3,42,2,0
6,Burpees,full,2,42,2,0
6,Bench Press,chest,3,22,2,0
6,Bench Press,chest,3,53,3,0
6,Lunges,legs,1,88,4,0
6,Squats,legs,2,48,4,0
6,Push-ups,chest,1,67,4,0
6,Pull-ups,back,2,35,2,0
6,Bench Press,chest,3,29,3,0
6,Pull-ups,back,2,86,4,0
6,Burpees,full,2,52,2,0
6,Burpees,full,2,25,4,0
6,Bench Press,chest,3,41,1,0
6,Pull-ups,back,2,52,2,0
6,Plank,core,1,48,3,0
6,Plank,core,1,37,5,0
6,Deadlifts,back,3,32,3,0
6,Row,back,2,64,4,0
6,Lunges,legs,1,46,5,0
6,Squats,legs,2,52,3,0
6,Row,back,2,52,3,0
6,OHP,shoulders,3,34,2,0
6,Lunges,legs,1,46,4,0
6,OHP,shoulders,3,26,1,0
7,Plank,core,1,22,5,0
7,Deadlifts,back,3,25,1,0
7,Row,back,2,69,3,0
7,Lunges,legs,1,69,4,0
7,OHP,shoulders,3,31,2,0
7,Plank,core,1,23,4,0
7,Bench Press,chest,3,68,3,0
7,Lunges,legs,1,28,3,0
7,Burpees,full,2,35,4,0
7,Squats,legs,2,75,2,0
7,Deadlifts,back,3,65,2,0
7,Lunges,legs,1,67,5,0
7,Burpees,full,2,78,2,0
7,Squats,legs,2,85,4,0
8,Plank,core,1,36,5,1
8,Lunges,legs,1,25,5,1
8,Push-ups,chest,1,61,4,1
8,Deadlifts,back,3,39,2,1
8,Plank,core,1,63,5,1
8,Burpees,full,2,66,3,1
8,Row,back,2,74,5,1
8,Push-ups,chest,1,84,4,1
8,OHP,shoulders,3,56,2,1
8,Row,back,2,57,5,1
8,Row,back,2,73,3,1
8,Push-ups,chest,1,70,5,1
8,Burpees,full,2,31,4,1
8,Plank,core,1,76,5,1
8,Burpees,full,2,76,4,1
8,Push-ups,chest,1,27,5,1
8,Burpees,full,2,79,4,1
8,Plank,core,1,22,4,1
8,Burpees,full,2,71,4,1
8,OHP,shoulders,3,27,4,1
8,Pull-ups,back,2,82,5,1
8,Bench Press,chest,3,76,3,1
8,Squats,legs,2,86,4,1
8,Row,back,2,37,3,1
8,OHP,shoulders,3,81,4,1
8,Burpees,full,2,75,3,1
8,OHP,shoulders,3,44,4,1
8,Burpees,full,2,31,5,1
9,Plank,core,1,66,4,1
9,Push-ups,chest,1,28,4,1
9,Plank,core,1,86,4,1
9,Push-ups,chest,1,36,4,1
9,Push-ups,chest,1,82,5,1
9,Squats,legs,2,89,5,1
9,OHP,shoulders,3,67,2,1
9,Deadlifts,back,3,56,4,1
9,Push-ups,chest,1,83,5,1
9,Deadlifts,back,3,24,4,1
9,Lunges,legs,1,41,5,1
9,Plank,core,1,80,5,1
9,Deadlifts,back,3,47,4,1
9,Squats,legs,2,20,3,1
9,Burpees,full,2,28,4,1
9,Push-ups,chest,1,77,5,1
9,OHP,shoulders,3,32,2,1
9,Squats,legs,2,52,4,1
9,Bench Press,chest,3,79,4,1
9,Bench Press,chest,3,87,2,1
9,OHP,shoulders,3,26,2,1
10,Push-ups,chest,1,26,5,1
10,Burpees,full,2,73,4,1
10,Row,back,2,23,5,1
10,Burpees,full,2,80,4,1
10,OHP,shoulders,3,56,4,1
10,Squats,legs,2,32,4,1
10,Plank,core,1,84,5,1
10,Burpees,full,2,47,4,1
10,Push-ups,chest,1,61,4,1
11,Pull-ups,back,2,73,4,0
11,Deadlifts,back,3,75,1,0
11,Row,back,2,63,4,0
11,Push-ups,chest,1,33,3,0
11,Burpees,full,2,21,4,0
11,Burpees,full,2,20,3,0
11,Push-ups,chest,1,70,4,0
11,Squats,legs,2,32,3,0
11,Plank,core,1,75,4,0
11,Burpees,full,2,78,4,0
12,Plank,core,1,76,4,2
12,Lunges,legs,1,60,3,2
12,Lunges,legs,1,68,5,2
12,Pull-ups,back,2,70,4,2
12,Row,back,2,55,5,2
